,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
99,John Collins,ATL,23,63,34,29,29.3,116,111.7,4.3,6.5,0.93,7.7,6.4,18.3,12.5,8.2,61,64.5,21.4,99.99,12.5,3858
99,Luke Kennard,LAC,25,63,44,19,19.6,114,114.4,-0.4,12,2.17,18,1.3,11.8,6.6,8.3,59.7,60.8,16.6,99,8.4,2535
99,Rudy Gay,SAS,34,63,29,34,21.6,108.4,103.9,4.5,10,1.35,10.7,2.8,17.6,10.2,7.9,50.5,53.2,23,101.26,10.8,2865
99,Shake Milton,PHI,24,63,46,17,23.2,109.3,105,4.3,21,1.87,18.6,2.2,7.6,4.9,9.9,50.3,54.9,23.9,101.45,10.1,3087
99,Stephen Curry,GSW,33,63,37,26,34.2,114.2,109.6,4.6,28.3,1.7,17.4,1.3,13.5,7.7,10.2,60.5,65.5,33.1,105.16,18.1,4725
99,Trae Young,ATL,22,63,36,27,33.7,118.2,113,5.2,42.6,2.28,26.9,1.8,9.4,5.7,11.8,49.9,58.9,32,100.5,15,4464
116,Denzel Valentine,CHI,27,62,26,36,16.7,107.7,106.7,1,14.4,2.5,18.4,2.2,16.8,9.4,7.4,46.9,47.9,19,100.05,8.5,2170
116,Devin Vassell,SAS,20,62,30,32,17,106.5,108.9,-2.4,7.1,2.55,14,2.1,13.8,7.9,5.5,49.2,52.4,13.8,102.37,7.1,2247
116,Domantas Sabonis,IND,25,62,29,33,36,109.6,111.5,-1.9,28.3,1.95,24.9,6.6,25.9,16.2,12.8,56.4,60.1,23.9,102.1,15.4,4746
116,Jonas Valanciunas,MEM,29,62,32,30,28.3,112.8,108.9,3.8,9.7,1.12,10.7,13.4,28.9,21,9.6,60.6,63.6,21.7,101.97,16.3,3725
116,Josh Jackson,DET,24,62,16,46,25.2,104.9,108.3,-3.4,15,1.01,13.2,3.5,12.3,7.9,13.1,47.3,51.6,25.4,100.67,8,3267
116,Obi Toppin,NYK,23,62,36,26,11,109.1,106.5,2.7,6.5,1.26,10.7,3.7,15.5,9.7,8.5,56,57.4,15.7,97.43,9.3,1381
116,Tobias Harris,PHI,28,62,44,18,32.5,113.3,106.1,7.2,17.5,2.06,16.5,3.2,17,10.4,8,55.6,59.7,23.7,100.42,14.5,4223
116,Trey Burke,DAL,28,62,35,27,14.7,111.5,110.2,1.3,12.9,2.45,16.5,1.1,4.7,2.9,6.7,51,54.4,19.3,99.91,7.6,1893
124,Brad Wanamaker,CHA,31,61,29,32,17.3,101.4,107.1,-5.7,25.1,2.45,29.8,1.6,8,4.7,12.2,41.1,48.9,16.6,100.41,7.5,2201
124,Brandon Ingram,NOP,23,61,29,32,34.3,115.1,114.2,1,21.8,1.92,17.6,1.6,12.6,7.1,9.2,53.1,58.4,27.9,99.97,12.8,4358
